atomic number,atomic symbol,period,element name,atomic mass
1,H,1,hydrogen,1.008
2,He,1,helium,4.003
3,Li,2,lithium,6.941
4,Be,2,beryllium,9.012
5,B,2,boron,10.81
6,C,2,carbon,12.01
7,N,2,nitrogen,14.01
8,O,2,oxygen,16
9,F,2,fluorine,19
10,Ne,2,neon,20.18
11,Na,3,sodium,22.99
12,Mg,3,magnesium,24.31
13,Al,3,aluminum,26.98
14,Si,3,silicon,28.09
15,P,3,phosphorus,30.97
16,S,3,sulfur,32.07
17,Cl,3,chlorine,35.45
18,Ar,3,argon,39.95
19,K,4,potassium,39.1
20,Ca,4,calcium,40.08
21,Sc,4,scandium,44.96
22,Ti,4,titanium,47.87
23,V,4,vanadium,50.94
24,Cr,4,chromium,52
25,Mn,4,manganese,54.94
26,Fe,4,iron,55.85
27,Co,4,cobalt,58.93
28,Ni,4,nickel,58.69
29,Cu,4,copper,63.55
30,Zn,4,zinc,65.41
31,Ga,4,gallium,69.72
32,Ge,4,germanium,72.64
33,As,4,arsenic,74.92
34,Se,4,selenium,78.96
35,Br,4,bromine,79.9
36,Kr,4,krypton,83.8
37,Rb,5,rubidium,85.47
38,Sr,5,strontium,87.62
39,Y,5,yttrium,88.91
40,Zr,5,zirconium,91.22
41,Nb,5,niobium,92.91
42,Mo,5,molybdenum,95.94
43,Tc,5,technetium,98
44,Ru,5,ruthenium,101.1
45,Rh,5,rhodium,102.9
46,Pd,5,palladium,106.4
47,Ag,5,silver,107.9
48,Cd,5,cadmium,112.4
49,In,5,indium,114.8
50,Sn,5,tin,118.7
51,Sb,5,antimony,121.8
52,Te,5,tellurium,127.6
53,I,5,iodine,126.9
54,Xe,5,xenon,131.3
55,Cs,6,cesium,132.9
56,Ba,6,barium,137.3
57,La,6,lanthanum,138.9
58,Ce,6,cerium,140.1
59,Pr,6,praseodymium,140.9
60,Nd,6,neodymium,144.2
61,Pm,6,promethium,145
62,Sm,6,samarium,150.4
63,Eu,6,europium,152
64,Gd,6,gadolinium,157.3
65,Tb,6,terbium,158.9
66,Dy,6,dysprosium,162.5
67,Ho,6,holmium,164.9
68,Er,6,erbium,167.3
69,Tm,6,thulium,168.9
70,Yb,6,ytterbium,173
71,Lu,6,lutetium,175
72,Hf,6,hafnium,178.5
73,Ta,6,tantalum,180.9
74,W,6,tungsten,183.8
75,Re,6,rhenium,186.2
76,Os,6,osmium,190.2
77,Ir,6,iridium,192.2
78,Pt,6,platinum,195.1
79,Au,6,gold,197
80,Hg,6,mercury,200.6
81,Tl,6,thallium,204.4
82,Pb,6,lead,207.2
83,Bi,6,bismuth,209
84,Po,6,polonium,209
85,At,6,astatine,210
86,Rn,6,radon,222
87,Fr,7,francium,223
88,Ra,7,radium,226
89,Ac,7,actinium,227
90,Th,7,thorium,232
91,Pa,7,protactinium,231
92,U,7,uranium,238
93,Np,7,neptunium,237
94,Pu,7,plutonium,239
95,Am,7,americium,243
96,Cm,7,curium,247
97,Bk,7,berkelium,247
98,Cf,7,californium,251
99,Es,7,einsteinium,252
100,Fm,7,fermium,257
101,Md,7,mendelevium,258
102,No,7,nobelium,259
103,Lr,7,lawrencium,262
104,Rf,7,rutherfordium,261
105,Db,7,dubnium,262
106,Sg,7,seaborgium,266
107,Bh,7,bohrium,264
108,Hs,7,hassium,277
109,Mt,7,meitnerium,268
110,Ds,7,darmstadtium,281
111,Rg,7,roentgentium,272
112,Uub,7,ununbium,285
113,Uut,7,ununtrium,284
114,Uuq,7,ununquadium,289
115,Uup,7,ununpentium,288
116,Uuh,7,ununhexium,292
118,Uuo,7,ununoctium,294
